11:36:34 | INFO    | api                    | GET /storage/cases/FXOPT-2026-00048 -> 200 (13.2ms) cid=966f295a-ad34-4138-b4b8-735f81438718
11:36:34 | INFO    | api                    | GET /storage/cases/FXOPT-2026-00052 -> 200 (11.3ms) cid=30c339c8-c0cb-4199-bde5-c4fbebd6eeee
11:36:34 | INFO    | api                    | GET /storage/cases/FXOPT-2026-00057 -> 200 (5.7ms) cid=2f62b7fc-a014-4b17-ada8-657953c04045
11:36:34 | INFO    | api                    | GET /storage/cases/FXOPT-2026-00055 -> 200 (6.6ms) cid=8e5ca70e-3767-4a91-9f68-f21bf9580255
11:36:34 | INFO    | api                    | GET /storage/cases/FXOPT-2026-00056 -> 200 (8.6ms) cid=f39871b0-e08e-404c-a739-55f9784b6fce
11:36:34 | INFO    | api                    | GET /storage/cases/FXOPT-2026-00053 -> 200 (7.4ms) cid=606756d3-7751-43f2-b412-583b51a75e44
11:36:34 | INFO    | api                    | GET /storage/cases/FXOPT-2026-00050 -> 200 (8.0ms) cid=52cf70b0-7f8e-44a6-ad15-6f4e0ec50d87
11:36:34 | INFO    | api                    | GET /storage/cases/FXOPT-2026-00049 -> 200 (6.8ms) cid=a038b731-f42e-42bd-82e2-ca1f1a283391
11:36:34 | INFO    | api                    | GET /storage/cases/FXOPT-2026-00054 -> 200 (6.3ms) cid=c4a87f3d-762f-4ba1-bd30-f9e7d08951dc
11:36:34 | INFO    | api                    | GET /storage/cases/FXOPT-2026-00058 -> 200 (2.6ms) cid=cfa742f1-3db9-4d52-acdb-8f8ab2a124ea
11:36:34 | INFO    | api                    | GET /storage/cases/FXOPT-2026-00051 -> 200 (2.6ms) cid=773010c5-bfd5-458c-a78f-fa9a7494e2b3
11:36:34 | INFO    | api                    | GET /storage/cases/FXOPT-2026-00047 -> 200 (3.1ms) cid=b45acfbe-28cd-4bb7-a6c6-692c9c0751dd
11:36:34 | INFO    | api                    | GET /storage/cases/FXOPT-2026-00048 -> 200 (4.3ms) cid=1f36c68c-93d0-4130-8ef8-36fe9d8db151
11:36:34 | INFO    | api                    | GET /storage/cases/FXOPT-2026-00052 -> 200 (4.4ms) cid=18118e5c-f723-406e-a97b-5e5cae6331ed
11:36:57 | INFO    | api                    | GET /health -> 200 (0.3ms) cid=8e8458cd-9f56-49fd-a2dd-74c23622397e
11:36:57 | INFO    | api                    | GET /config -> 200 (2.4ms) cid=83f79c1e-993e-4f18-be5e-14fd196053e9
11:36:57 | INFO    | api                    | GET /health -> 200 (0.2ms) cid=ca30f7de-5a81-4e06-b7c4-dd9bfdafa1b6
11:36:57 | INFO    | api                    | GET /config -> 200 (0.8ms) cid=2a286257-182a-482a-878f-211e4bf296c3
11:37:59 | INFO    | api                    | GET /health -> 200 (0.3ms) cid=32c7ba6f-cfea-4fdb-a6f3-ba211c087533
11:37:59 | INFO    | api                    | GET /health -> 200 (0.3ms) cid=71e10d5a-a92f-4772-8aa5-0ea36b5b9704
11:41:15 | INFO    | api                    | GET /health -> 200 (0.5ms) cid=1c83156f-5df6-4dc8-9da9-0f46a4c11b30
11:41:15 | INFO    | api                    | GET /config -> 200 (1.8ms) cid=11ebf4af-c950-4de7-904c-f6afb7035bc9
11:41:15 | INFO    | api                    | GET /health -> 200 (0.3ms) cid=925ae918-e366-4a5c-8fde-f1c90ab5897a
11:41:15 | INFO    | api                    | GET /config -> 200 (0.8ms) cid=1ab81720-41c8-437c-81fe-0610603e689d
